TradeName,ScientificName,Size,SizeUnit,DrugType,LegalStatus,Manufacture_Name,Manufacture_Country,AuthorizationStatus,LastUpdate
PERITONEAL DIALYSIS 2.3%DEX 1.5MMOLELCTR,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS 2.3%DEX 1.5MMOLELCTR,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",2000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS 2.3%DEX 1.5MMOLELCTR,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS 2.3% DEX 1.75MMOL EL,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS 2.3% DEX 1.75MMOL EL,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS 2.3% DEX 1.75MMOL EL,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",2000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS 2.3% DEX 1.75MMOL EL,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",250,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS 2.3%DEX 1.5MMOLELCTR,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM LACTATE",500,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PECTAL 100MG\5ML SYRUP,GUAIFENESIN,120,ml,Generic,OTC,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,5/5/2024
PAXITAB 40MG TABLET,PAROXETINE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,1/22/2024
PAXITAB 20MG TABLET,PAROXETINE,-,-,Generic,Prescription,TABUK PHARMACEUTICAL MANUFACTURING CO.,Saudi Arabia,Valid,1/22/2024
PAROXAT 30MG F-C TABLETS,PAROXETINE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,8/29/2022
PAROXAT 20 MG F-C TABLETS,PAROXETINE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,8/29/2022
PAROXAT 10 MG F-C TABLETS,PAROXETINE,-,-,Generic,Prescription,SPIMACO,Saudi Arabia,Valid,8/29/2022
PERITONEAL DIALYSIS SOLN1.5%DEXT(HIGH Na,"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM ACETATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
PERITONEAL DIALYSIS SOLN1.5%DEXT(LOW Na),"DEXTROSE,SODIUM CHLORIDE, CALCIUM CHLORIDE,MAGNESIUM CHLORIDE,SODIUM ACETATE",1000,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,11/21/2022
POLYVALENT SNAKE ANTIVENUM-EQUINE 10 ML AMPULE,ANTIVENUM IMMUNOGLOBULIN AGAINST SIX TYPES OF SNAKES AMP,10,ml,Biological,Prescription,NATIONAL ANTIVENOM AND VACCINE PRODUCTION CENTER,Saudi Arabia,Valid,9/14/2023
POTASSIUM CHLORIDE 7.5% AMP,POTASSIUM CHLORIDE,5,ml,Generic,Prescription,Pharmaceutical Solution Industries (PSI),Saudi Arabia,Valid,8/31/2022
PREDO 5MG-5ML SYRUP,PREDNISOLONE SODIUM PHOSPHATE,120,ml,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,8/29/2022
PREDO 5MG TABLETS,PREDNISOLONE,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,2/16/2025
PREDO 25MG TABLETS,PREDNISOLONE,-,-,Generic,Prescription,Jazeera Pharmaceutical Industries (JPI),Saudi Arabia,Valid,2/16/2025
